Rank,Movie Name,Overview,IMDb Rating,Release Date,Languages Available In
1,Drishyam 2,A family man fights for justice when his teenage daughter is accused of a crime she didn't commit.,8.3,22 November 2022,"Hindi, Telugu, Tamil, Malayalam"
2,Uunchai,Three friends in their 60s embark on an adventure to trek Mount Everest.,8.1,11 November 2022,"Hindi, Tamil, Telugu"
3,Bhediya,A man is bitten by a wolf and starts to transform into one himself.,7.8,25 November 2022,Hindi
4,Cirkus,A circus owner struggles to keep his business afloat after his son runs away.,7.2,23 December 2022,Hindi
5,Waltair Veerayya,A man seeks revenge on the people who killed his father.,7.1,30 December 2022,Telugu
6,Vaathi,A high school teacher takes on the corrupt education system.,7.5,17 December 2022,Tamil
7,Varisu,A businessman tries to save his family's empire from collapse.,7.3,2 December 2022,Tamil
8,Thunivu,A bank robber plans the perfect heist.,7.6,25 January 2023,Tamil
9,Rana Vikram,A former police officer takes on a gang of criminals.,7.4,13 April 2023,"Tamil, Telugu"
10,Jawaan,A man with a special power takes on a dangerous enemy.,7.7,2 April 2023,"Tamil, Telugu, Hindi"
11,Adipurush,A reimagining of the Hindu epic Ramayana.,6.2,12 January 2023,"Hindi, Tamil, Telugu"
12,Vikram,A former special agent comes out of retirement to take on a new mission.,8.4,31 March 2022,Tamil
13,The Kashmir Files,A Kashmiri Pandit recounts his experiences during the exodus of Kashmiri Hindus in the 1990s.,8.1,11 March 2022,Hindi
14,Gangubai Kathiawadi,A young woman is forced into prostitution and eventually becomes a powerful mafia queen.,7.6,25 February 2022,Hindi
15,Jhund,A sports teacher trains a group of underprivileged children in basketball.,7.8,4 March 2022,"Hindi, Marathi"
16,The Batman,A vigilante known as Batman fights crime in Gotham City.,8.1,4 March 2022,"English, Hindi, Tamil, Telugu"
17,Morbius,A man with a rare blood disease becomes a vampire in search of a cure.,5.7,1 April 2022,"English, Hindi, Tamil, Telugu"
18,Fantastic Beasts: The Secrets of Dumbledore,A group of wizards and witches must stop a dangerous wizard from taking over the world.,6.8,15 April 2022,"English, Hindi, Tamil, Telugu"
19,Doctor Strange in the Multiverse of Madness,A doctor travels through the multiverse to stop a threat to the world.,7.9,6 May 2022,"English, Hindi, Tamil, Telugu"
20,Jurassic World Dominion,A group of scientists must stop a group of dinosaurs from escaping from a containment facility.,6.7,10 June 2022,"English, Hindi, Tamil, Telugu"