Movie Name,Overview,IMDb Rating,Release Date,Languages Available In
Drishyam 2,A family man fights for justice when his teenage daughter is accused of a crime she didn't commit.,8.3,22 November 2022,"Hindi, Telugu, Tamil, Malayalam"
Uunchai,Three friends in their 60s embark on an adventure to trek Mount Everest.,8.1,11 November 2022,"Hindi, Tamil, Telugu"
Bhediya,A man is bitten by a wolf and starts to transform into one himself.,7.8,25 November 2022,Hindi
Cirkus,A circus owner struggles to keep his business afloat after his son runs away.,7.2,23 December 2022,Hindi
Waltair Veerayya,A man seeks revenge on the people who killed his father.,7.1,30 December 2022,Telugu
Vaathi,A high school teacher takes on the corrupt education system.,7.5,17 December 2022,Tamil
Varisu,A businessman tries to save his family's empire from collapse.,7.3,2 December 2022,Tamil
Thunivu,A bank robber plans the perfect heist.,7.6,25 January 2023,Tamil
Rana Vikram,A former police officer takes on a gang of criminals.,7.4,13 April 2023,"Tamil, Telugu"
Jawaan,A man with a special power takes on a dangerous enemy.,7.7,2 April 2023,"Tamil, Telugu, Hindi"
Adipurush,A reimagining of the Hindu epic Ramayana.,6.2,12 January 2023,"Hindi, Tamil, Telugu"
Vikram,A former special agent comes out of retirement to take on a new mission.,8.4,31 March 2022,Tamil
The Kashmir Files,A Kashmiri Pandit recounts his experiences during the exodus of Kashmiri Hindus in the 1990s.,8.1,11 March 2022,Hindi
Gangubai Kathiawadi,A young woman is forced into prostitution and eventually becomes a powerful mafia queen.,7.6,25 February 2022,Hindi
Jhund,A sports teacher trains a group of underprivileged children in basketball.,7.8,4 March 2022,"Hindi, Marathi"
The Batman,A vigilante known as Batman fights crime in Gotham City.,8.1,4 March 2022,"English, Hindi, Tamil, Telugu"
Morbius,A man with a rare blood disease becomes a vampire in search of a cure.,5.7,1 April 2022,"English, Hindi, Tamil, Telugu"
Fantastic Beasts: The Secrets of Dumbledore,A group of wizards and witches must stop a dangerous wizard from taking over the world.,6.8,15 April 2022,"English, Hindi, Tamil, Telugu"
Doctor Strange in the Multiverse of Madness,A doctor travels through the multiverse to stop a threat to the world.,7.9,6 May 2022,"English, Hindi, Tamil, Telugu"
Jurassic World Dominion,A group of scientists must stop a group of dinosaurs from escaping from a containment facility.,6.7,10 June 2022,"English, Hindi, Tamil, Telugu"